Event Time,Facets Product ID,Effective Date,User ID,Response Time (Seconds),Retry Count,Question,Answer,Feedback Type,Feedback Reason Code,Feedback Additional Comments
2026-04-07T21:58:18.037Z,M0042140,,awoote01,19,0,PET SCAN,"A PET scan maps to Advanced Imaging Services under this PPO plan. For in-network providers, the cost share is No Charge after the deductible, and for out-of-network providers, it is 50% coinsurance after the deductible, with possible balance billing and a facility maximum when done in a hospital outpatient department.",,,
2026-04-07T21:57:26.966Z,ML002175,,rbevan01,21,0,RADIATION,"Radiation therapy is covered under this PPO plan. The cost depends on where it is performed: in an outpatient hospital facility it is 30% coinsurance in-network and 50% coinsurance out-of-network; if billed as a professional physician service, it maps to radiation and chemotherapy professional services at 30% coinsurance in-network and 50% coinsurance out-of-network.",,,
2026-04-07T21:57:10.499Z,M0037451,,akeeto01,39,0,DO YOU COVER TRANSPORTATION TO AND  FROM THE HOSPITAL,"The plan covers licensed ambulance transportation only, including emergency ambulance transportation to the closest appropriate medical facility and prior-authorized non-emergency ambulance transportation from one medical facility to another. Transportation by car, taxi, bus, gurney van, wheelchair van, and other non-ambulance transportation is excluded.",,,
2026-04-07T21:55:42.850Z,M0037451,,akeeto01,23,0,HOME HEALTH SERVICES FOR DAILY LIVING,"Home health services are covered only for skilled home health services provided by a Participating home health care agency in the home under a written treatment plan approved by a physician. Services that are primarily for help with daily living, custodial care, domiciliary care, or private duty nursing are not covered under this plan.[1][2]",,,
2026-04-07T21:54:34.467Z,M0037451,,akeeto01,33,0,IN HOME CARE,"The plan covers certain home health services when provided through participating providers, but it does not cover all in-home care. Covered in-home services include home health care, home infusion/home injectables/IV treatment/solutions and supplies, and hemophilia home infusion services; private duty nursing is not covered.[1][2][3][4][5][6]",,,
2026-04-07T21:53:19.005Z,MI014321,,mdelac05,29,0,what is the copayment or cost of colonoscopy in outpatient?,"For an outpatient colonoscopy, the cost depends on whether it is done as a preventive screening or as a diagnostic procedure. A preventive screening colonoscopy is covered at No Charge in-network, while a diagnostic outpatient colonoscopy would use the outpatient surgery/procedure benefits, including 30% coinsurance in-network for professional and facility services in an outpatient setting, with different out-of-network costs.[1][2][3][4]",,,
2026-04-07T21:52:59.155Z,M0037451,,akeeto01,19,0,PET SCAN COST,"A PET scan is covered under Advanced Imaging Services. For in-network providers, the cost is 35% coinsurance after the deductible; for out-of-network providers, the cost is 50% coinsurance after the deductible, and the member may also be balance billed. If the PET scan is done in a hospital outpatient department, the out-of-network facility also has a maximum payable amount of $350 per day, with the member responsible for charges above that amount.",,,
2026-04-07T21:52:24.955Z,M0042140,,awoote01,16,0,POSTPARTUM CHECKUP,"A postpartum checkup is covered under Pregnancy and Maternity Care as Pre/Postnatal Visits. For this PPO plan, the in-network cost share is No Charge, and the service is not subject to the deductible; out-of-network, the cost share is 50% coinsurance and subject to the deductible.",,,
2026-04-07T21:52:14.469Z,M0037433,,lmorri05,29,0,MRI,"An MRI maps to the plan’s Advanced Imaging Services benefit. For this PPO plan, the in-network cost is 20% coinsurance in both an outpatient radiology center and a hospital outpatient department; out-of-network cost is 50% coinsurance, generally subject to the deductible, and the out-of-network provider may also balance bill.",,,
2026-04-07T21:51:24.998Z,M0037451,,akeeto01,11,0,COVERAGE FOR POSTNATAL VISITS,"Postnatal visits are covered under Pregnancy and Maternity Care. For in-network providers, the cost is No Charge and the service is not subject to the deductible. For out-of-network providers, the cost is 50% coinsurance after the deductible and balance billing may apply.[1]",,,
2026-04-07T21:50:23.261Z,M0037551,,mkelly07,12,0,Does BSC offer bundled treatments for ESRD?,"I couldn't find any language in the current plan document stating that Blue Shield of California offers a specific bundled treatment program for ESRD. The plan does show coverage for dialysis services and related settings, but not a separate bundled ESRD treatment arrangement.",,,
2026-04-07T21:47:49.418Z,M0037451,,akeeto01,10,0,WHAT IS THE OUT OF NETWORK BENEFIT FOR SPECIALIST OFFICE VISIT,"The out-of-network benefit for a Specialist Office Visit/Consultation is 50% coinsurance, and it is subject to the out-of-network medical deductible. The out-of-network deductible is $5,000 individual / $10,000 family, and the out-of-network out-of-pocket maximum is $13,250 individual / $26,500 family.",,,
2026-04-07T21:47:22.612Z,M0033795,,test_id,21,0,What is my copayment or cost for seeing my Primary Care Physician (PCP)?,"The PCP office visit copayment is $35 per visit for in-network services under this HMO plan. Because this is an HMO, out-of-network services are not covered except as specifically allowed by the plan, so for out-of-network PCP services the member would be responsible for 100% of the provider's billed amount.[1][2]",,,
2026-04-07T21:47:13.405Z,MI014321,,mdelac05,16,0,what is the copayment or cost of physical therapy in outpatient facility?,"For physical therapy in an outpatient facility, the in-network cost is $50 per visit. Out-of-network, the cost is 50% coinsurance, the service is subject to the deductible, and the member may also owe amounts above the allowed amount.",thumbs_up,,
2026-04-07T21:44:13.542Z,M0037517,,crice02,39,0,I NEED TO KNOW THE BENEFITS FOR A IN NETWORK HOSPITAL COLONOSCOPY PROCEDURE,"For an in-network hospital colonoscopy procedure, the plan can cover it differently depending on whether it is billed as a preventive screening or a diagnostic procedure. If it is preventive screening, the applicable preventive exam benefit is No Charge in-network; if it is diagnostic/procedural in a hospital outpatient setting, the Member would generally have 20% coinsurance after the deductible for the physician/surgeon and either $150 per surgery + 20% coinsurance for outpatient hospital surgery or 20% coinsurance at an ambulatory surgery center, all in-network.",,,
2026-04-07T21:44:12.214Z,M0033795,,test_id,11,0,What is my copayment or cost for seeing my Primary Care Physician (PCP)?,"The PCP office visit cost is $35 per visit under this HMO plan. Because this is an Access+ HMO, PCP office visits do not require a referral.",,,
2026-04-07T21:42:03.121Z,M0037451,,akeeto01,21,0,WHAT IS THE IN NETWORK BENEFIT FOR CORTISONE INJECTIONS,"For an in-network cortisone injection, the most applicable benefit is Injectable medications in an office setting: 35% coinsurance of the allowed amount, and it is not subject to the medical deductible. If the injection is given in an outpatient facility instead of an office, the most applicable professional benefit is also 35% coinsurance in-network.",,,
2026-04-07T21:40:42.080Z,M0037517,,crice02,32,0,COLONOSCOPY,"A colonoscopy can be covered differently depending on whether it is done as a preventive screening or as a diagnostic procedure. For this PPO plan, a preventive screening maps to the Annual Health Exam benefit, while a diagnostic colonoscopy would use outpatient surgery/procedure benefits, including professional and facility charges.",,,
2026-04-07T21:37:19.765Z,M0037451,,awoote01,19,0,PREVENTIVE HEALTH SERVICES,"The plan covers Preventive Health Services only when received from a Participating Provider. In-network preventive services are covered at No Charge, and out-of-network preventive services are not covered under this plan.[1][2]",,,
2026-04-07T21:37:16.923Z,M0037451,,akeeto01,24,0,CORTISONE INJECTIONS,"Cortisone injections are covered under this PPO plan, but the cost depends on where the injection is given. If it is given in an office or outpatient setting, the most applicable professional benefit is 35% coinsurance in-network and 50% coinsurance out-of-network, with out-of-network also subject to balance billing. I did not find a cortisone injection benefit listed by name, so I mapped it to the broader outpatient professional/injectable medication benefit category.",,,
2026-04-07T21:36:24.399Z,M0037551,,mkelly07,22,0,DOES THIS PLAN COVER END STAGE RENAL DISEASE?,"Yes. This plan covers dialysis services, which are the core treatment benefits shown in the plan for end stage renal disease (ESRD). In-network dialysis is covered at No Charge for both outpatient facility and professional/home/freestanding dialysis center services under this HMO plan.",,,
2026-04-07T21:35:03.306Z,M0037451,,akeeto01,13,0,pcp copay,"The PCP copay is $55 per visit in-network. Out-of-network, primary care office visits are 50% coinsurance and are subject to the out-of-network deductible.",,,
2026-04-07T21:35:03.107Z,M0037451,,awoote01,13,0,CORTOZONE INJECTION,"A cortisone injection is covered under the plan’s injectable medications benefit when performed in an office setting. In-network, the cost is 35% coinsurance and it is not subject to the deductible; out-of-network, the cost is 50% coinsurance and it is subject to the deductible.",,,
2026-04-07T21:34:49.919Z,M0037451,,mswain02,16,0,cortisone injection,"A cortisone injection is covered under the plan’s Physician and other Professional Services as an injectable medication when given in an office setting. In-network, the cost is 35% coinsurance and it is not subject to the medical deductible; out-of-network, the cost is 50% coinsurance and it is subject to the medical deductible.",,,
2026-04-07T21:26:58.785Z,ML002189,,mcarri07,9,0,what would the plan benefit be for cpt code 90381,"I couldn't find CPT 90381 specifically in the current plan document. Based on the plan data provided, there is no benefit category that clearly identifies this code or its exact service, so I can’t determine the plan benefit from the current document alone.",,,
2026-04-07T21:26:04.134Z,ML002189,,mcarri07,12,0,what would be the benefit for cpt code 90380,"I couldn't find CPT 90380 listed by code or description in the current plan document. Based on the available plan data, I can’t determine the exact benefit category for that CPT from this document alone.",,,
2026-04-07T21:24:27.393Z,M0037511,,btimbe01,20,0,MRI benefitts,"An MRI maps to Advanced Imaging Services under this PPO plan. In-network, the cost is 30% coinsurance at an outpatient radiology center or $100 per visit + 30% coinsurance in a hospital outpatient department; out-of-network, it is 40% coinsurance after the deductible, and the member may also be balance billed.",,,
2026-04-07T21:22:15.697Z,ML002185,,fwren01,24,0,LABS,"Laboratory services are covered under this PPO plan. For a lab at a laboratory center, the in-network cost is $30 per visit and the out-of-network cost is 50% coinsurance after the deductible; for a lab done in an outpatient department of a hospital, the in-network cost is also $30 per visit and the out-of-network cost is 50% coinsurance after the deductible, with an additional out-of-network maximum payable amount of up to $500 per day plus all charges above that amount.",,,
2026-04-07T21:18:47.875Z,ML002175,,rbevan01,27,0,MAMMOGRAPHY,"Mammography can fall under either preventive screening or diagnostic imaging, depending on why it is being done. Under this PPO plan, a screening mammography is covered at No Charge in-network as part of preventive health services, while a diagnostic mammography is covered under Basic Imaging Services at $95 per visit in-network; out-of-network diagnostic imaging is 50% coinsurance subject to the deductible and may include balance billing.",,,
2026-04-07T21:00:45.634Z,ML002175,,rbevan01,20,0,CT,"A CT scan maps to Advanced Imaging Services under this PPO plan. In-network, the cost is $325 per visit whether done at an outpatient radiology center or hospital outpatient department; out-of-network, the cost is 50% coinsurance, generally subject to the deductible, and out-of-network providers may balance bill.",,,
2026-04-07T20:59:20.007Z,MG011314,,HGAEDE01,14,0,beneftis for mri,"For an MRI, this plan covers it as an Advanced Imaging Service. Under this HMO plan, the in-network cost is $75 per visit whether performed at an outpatient radiology center or the outpatient department of a hospital, and it applies to the plan’s out-of-pocket maximum.",,,
2026-04-07T20:58:11.471Z,ML002189,,mcarri07,11,0,what would be the benefit for an rsv vaxing?,"The plan covers immunizations as a Preventive Health Service when received from a Participating Provider, and the cost share is No Charge. For Non-Participating Providers, preventive health services are Not Covered under this plan.",,,
2026-04-07T20:51:21.943Z,MG011314,,HGAEDE01,7,0,benefits for toe trimming,"Toe trimming is not covered under this plan when it is routine foot care. The plan lists toenail trimming under the general exclusions, so the member would be responsible for the full billed amount.",,,
2026-04-07T20:50:27.114Z,MG011314,,HGAEDE01,14,0,what is the coverage for PT,"Physical therapy is covered under this plan for outpatient office and outpatient facility settings at $35 per visit in-network, with no deductible. For this HMO plan, out-of-network providers are not covered, so the member would be responsible for 100% of the billed amount if they go out of network.",,,
2026-04-07T20:49:23.214Z,MG011314,,HGAEDE01,11,0,benefits for ekg,"An EKG maps to the plan’s Other Outpatient Non-Invasive Diagnostic Testing benefit. Under this Gold 80 Trio HMO plan, the in-network cost is $75 per visit in either an office location or hospital outpatient department, and out-of-network services are not covered except as allowed under HMO rules for emergency/urgent situations.",,,
2026-04-07T20:47:36.198Z,MG011314,,HGAEDE01,13,0,benefits for chiro,"Chiropractic spinal manipulation is not covered under this plan. Because this is a Gold 80 Trio HMO, out-of-network services are also not covered except where specifically stated elsewhere in the plan, so for chiropractic the member would be responsible for the full billed amount.",,,
2026-04-07T20:41:15.756Z,M0042154,,bbaker03,90,0,INFERTILITY BENEFITS,"This plan includes two infertility-related benefit areas: diagnosis and treatment of the cause of infertility under the medical plan, and a separate ART PPO 10%/50% rider for certain assisted reproductive technology services. Some ART services are covered with limits, while IVF, ICSI, and ZIFT are not covered under the rider.",,,
2026-04-07T20:39:35.180Z,ML002175,,rbevan01,19,0,PET SCAN,"A PET scan maps to Advanced Imaging Services under this PPO plan. For a Participating Provider, the cost is $325 per visit at either an outpatient radiology center or outpatient hospital department; for a Non-Participating Provider, the cost is 50% coinsurance, subject to the out-of-network deductible, and balance billing may apply.",,,
2026-04-07T20:38:34.966Z,ML002175,,rbevan01,11,0,DEDUCTIBLE,"This PPO plan has separate medical deductibles for in-network and out-of-network services. The in-network medical deductible is $5,200 individual / $10,400 family, and the out-of-network medical deductible is $7,000 individual / $14,000 family.",,,
2026-04-07T20:37:58.923Z,ML002175,,rbevan01,10,0,OOPM,"For this PPO plan, the medical out-of-pocket maximum (OOPM) is $9,800 individual / $19,600 family in-network and $25,000 individual / $50,000 family out-of-network.[1] The plan also shows a combined overall maximum of $34,800 individual / $69,600 family.[1]",,,
2026-04-07T20:33:36.528Z,M0037513,,lmorri05,13,0,T1 PRESCRIPTION COPAY3,The Tier 1 retail 30-day prescription copay is $15 per prescription. It is not subject to the pharmacy deductible according to the benefit entry for Tier 1 Retail.,,,
2026-04-07T20:32:29.398Z,ML002185,,rbevan01,19,0,INPATIENT HOSPITAL,"For inpatient hospital services, this PPO plan covers the facility stay at 20% coinsurance in-network after the medical deductible and 50% coinsurance out-of-network after the medical deductible. Out-of-network inpatient hospital services also have a maximum payable amount of up to $500 per day, and the member may also be balance billed.",,,
2026-04-07T20:22:59.886Z,ML002185,,jtraha02,23,0,diagnostic mammogram,"A diagnostic mammogram is covered under Basic Imaging Services. For this PPO plan, the in-network cost is $50 per visit whether performed at an outpatient radiology center/office or in a hospital outpatient department, and out-of-network coverage is 50% coinsurance, generally subject to the deductible. Diagnostic mammography is listed under the plan’s diagnostic imaging benefits, not the preventive annual exam benefit.[1][2][3]",,,
2026-04-07T19:56:36.389Z,MG011314,,HGAEDE01,16,0,"If I'm traveling outside of CA, do I have coverage?","Yes — under this HMO plan, coverage outside of California is limited. The plan covers emergency services, urgent services, and out-of-area follow-up care, and other services are not covered unless prior authorized by Blue Shield.",,,
2026-04-07T19:54:30.782Z,ML002175,,rbevan01,19,0,PROSTETHIC BRA,"A prosthetic bra is referenced under Reconstructive Surgery Benefits, but the current plan document does not show a separate cost-share entry for prosthetic bras. The plan does state that non-surgically implanted prosthetic devices, including prosthetic bras, are covered following a mastectomy, and it directs to the Durable Medical Equipment section for prosthetic devices; however, I could not find a specific benefit line that prices a prosthetic bra in the current plan data.",,,
2026-04-07T19:51:47.440Z,M0033795,,test_id,14,0,What is my copayment or cost for seeing my Primary Care Physician (PCP)?,"For a Primary Care Physician (PCP) office visit, the cost is $35 per visit with an in-network HMO provider. This PCP visit is not subject to the deductible and the copay applies to the plan’s out-of-pocket maximum.",,,
2026-04-07T19:51:08.816Z,MK002186,,rbevan01,26,0,CT IN ER,"A CT scan in the ER would fall under advanced imaging and, if done in the hospital emergency setting, the plan shows a $325 in-network copay per visit for advanced imaging outpatient hospital services. The ER visit itself has separate emergency room benefits, so there may also be an ER facility copay of $350 per visit and related physician charges depending on how the claim is billed.",,,
2026-04-07T19:49:55.280Z,M0033795,,test_id,8,0,What is my copayment or cost for seeing my Primary Care Physician (PCP)?,"For a Primary Care Physician (PCP) office visit, the cost is $35 per visit with an in-network HMO provider. This service is not subject to the deductible and it applies to the medical out-of-pocket maximum.",,,
2026-04-07T19:48:40.649Z,M0033795,,kvenga01,11,0,What is my copayment or cost for seeing my Primary Care Physician (PCP)?,The PCP office visit copay is $35 per visit for in-network/HMO providers. This service is not subject to the deductible and does apply to the medical out-of-pocket maximum.,,,
2026-04-07T19:48:03.733Z,M0033795,,kvenga01,12,0,What is my copayment or cost for seeing my Primary Care Physician (PCP)?,"The PCP office visit cost under this HMO plan is $35 per visit for in-network providers. Because this is an HMO plan, out-of-network services are not covered except as otherwise specified by the plan.",,,
2026-04-07T19:45:14.206Z,ML002195,,jtraha02,44,0,surgery,"For surgery, this PPO plan generally covers in-network surgical services at no charge after the deductible, and out-of-network at 50% coinsurance after the deductible, with separate professional and facility charges depending on where the surgery is done. Because the place of service was not specified, both outpatient and inpatient surgery benefits are listed below.",,,
2026-04-07T19:44:32.628Z,ML002193,,rhack01,31,0,WHAT IS COPAY FOR PHYSICAL THERAPHY AND ACUPUNTURE SERVICES?,"For this plan, physical therapy and acupuncture do not have a copay listed. In-network, both are shown as No Charge after being subject to the medical deductible where applicable; out-of-network, they are generally 50% coinsurance for physical therapy and 50% coinsurance for acupuncture. Acupuncture benefits are administered by ASH.",,,
